uid,FTO,language
catalan-05-120-173102,-129,Catalan
catalan-05-129-188942,-1702,Catalan
catalan-05-140-200694,-1475,Catalan
catalan-05-144-209991,9,Catalan
catalan-05-146-211510,-923,Catalan
catalan-05-156-224126,15,Catalan
catalan-05-159-227344,-138,Catalan
catalan-05-162-230259,-431,Catalan
catalan-05-168-240472,-2773,Catalan
catalan-05-171-245081,-425,Catalan
catalan-05-174-251750,268,Catalan
catalan-05-176-253070,429,Catalan
catalan-05-209-326212,-276,Catalan
catalan-05-219-344358,-1092,Catalan
catalan-05-221-346508,-2923,Catalan
catalan-05-228-363398,126,Catalan
catalan-05-231-368284,406,Catalan
catalan-05-287-468338,-4088,Catalan
catalan-05-293-482795,321,Catalan
catalan-05-295-484012,644,Catalan
catalan-05-303-494998,-1401,Catalan
catalan-05-306-498758,-334,Catalan
catalan-05-308-503398,-1096,Catalan
catalan-05-324-533206,375,Catalan
catalan-05-333-541558,-148,Catalan
catalan-05-338-548822,53,Catalan
catalan-05-340-550631,-220,Catalan
catalan-05-350-563542,-141,Catalan
catalan-05-371-589227,97,Catalan
catalan-05-382-602401,165,Catalan
catalan-05-384-604193,112,Catalan
catalan-05-388-606006,388,Catalan
catalan-06-007-6658,728,Catalan
catalan-06-010-11094,-1396,Catalan
catalan-06-015-17350,-2089,Catalan
catalan-06-020-25230,-51,Catalan
catalan-06-022-26088,807,Catalan
catalan-06-026-29846,36,Catalan
catalan-06-034-39078,156,Catalan
catalan-06-046-60838,-2492,Catalan
catalan-06-052-70718,-164,Catalan
catalan-06-064-94174,-1260,Catalan
catalan-06-069-101980,241.99999999998545,Catalan
catalan-06-072-108206,140,Catalan
catalan-06-074-109193,53,Catalan
catalan-06-085-123649,-145,Catalan
catalan-06-095-141466,-1328,Catalan
catalan-06-106-158200,-1970.000000000029,Catalan
catalan-06-109-163842,98.9999999999709,Catalan
catalan-06-151-234366,5974,Catalan
catalan-06-163-256918,-236,Catalan
catalan-06-188-303830,-614,Catalan
catalan-06-220-370078,-180,Catalan
catalan-06-228-387238,44,Catalan
catalan-06-234-395070,442,Catalan
catalan-06-239-406270,-676,Catalan
catalan-06-251-427942,-1820,Catalan
catalan-06-259-444781,-797,Catalan
catalan-06-263-451741,379,Catalan
catalan-06-274-465886,340,Catalan
catalan-06-297-499198,-722,Catalan
catalan-06-306-515459,-454.9999999999418,Catalan
catalan-06-315-531404,-140,Catalan
catalan-06-317-533401,-185,Catalan
catalan-06-327-545615,687,Catalan
catalan-06-343-573430,-119,Catalan
catalan-06-355-584723,195,Catalan
catalan-06-359-587850,162,Catalan
catalan-06-361-589099,-1756,Catalan
catalan-06-363-593664,159,Catalan
catalan-06-366-598630,-156,Catalan
catalan-06-373-609342,227,Catalan
catalan-06-395-644114,331,Catalan
catalan-06-399-648572,-1334,Catalan
catalan-06-411-664958,68,Catalan
catalan-06-429-693588,13,Catalan
catalan-06-432-697222,340,Catalan
catalan-06-435-701097,-545,Catalan
catalan-06-442-712726,145,Catalan
catalan-06-447-717198,1824,Catalan
catalan-06-454-725791,-745,Catalan
catalan-06-459-733256,-180,Catalan
catalan-06-464-739139,153,Catalan
catalan-06-470-744055,348,Catalan
catalan-06-473-746599,332,Catalan
catalan-07-012-18473,-98,Catalan
catalan-07-034-68434,25,Catalan
catalan-07-060-114238,213,Catalan
catalan-07-063-118153,3548,Catalan
catalan-07-066-124735,39,Catalan
catalan-07-068-128526,363,Catalan
catalan-07-079-155574,200,Catalan
catalan-07-092-183683,225,Catalan
catalan-07-112-223257,-77,Catalan
catalan-07-115-227718,18.000000000029104,Catalan
catalan-07-120-241736,114,Catalan
