begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
522210.00000000006,522669.99999999994,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,459.9999999998836,mandarin-110-200-522210,talk,1,5,12,44,6332095,1.8951073854703695e-6,NA,NA,NA,other,180.0000000000582,NA,8477,0.660493098973694,0.902768903088392,4,5,0.6,2,24,77,1,1,NA,mandarin-110-185-495690,1,75090.00000000006,75549.99999999994,dyadic
522799.99999999994,527900,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,5100.000000000058,mandarin-110-201-522800,talk,19,87,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,130,NA,13577,0.587611401635118,0.928659370725034,5,6,0.5,2,94,64,NA,0,NA,mandarin-110-185-495690,2,75679.99999999994,80780,dyadic
528050,528460,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,410,mandarin-110-202-528050,talk,1,5,12,44,6332095,1.8951073854703695e-6,NA,NA,NA,other,150,NA,9187,0.131598998584957,0.934587995930824,5,6,0.5,2,24,77,2,1,NA,mandarin-110-185-495690,1,80930,81340,dyadic
528750,529070,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,320,mandarin-110-203-528750,talk,1,1,1732,1,6332095,2.735271659695567e-4,NA,NA,NA,other,290,NA,8968,0.865187332738626,0.891451292246521,5,6,0.5,2,5,100,NA,0,NA,mandarin-110-185-495690,2,81630,81950,dyadic
529220,532470,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,3250,mandarin-110-204-529220,talk,14,61,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,150,overlapped,11878,0.346775551439636,0.929420970266041,5,6,0.5,2,94,64,NA,0,NA,mandarin-110-185-495690,1,82100,85350,dyadic
532310,533610,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,1300,mandarin-110-205-532310,talk,4,28,1,55,6332095,1.5792561545586417e-7,NA,NA,partial,other,-160,NA,10380,0.647398843930636,0.960222016651249,4,5,0.6,2,94,65,NA,0,NA,mandarin-110-185-495690,2,85190,86490,dyadic
533930,535850,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,1920,mandarin-110-206-533930,talk,8,36,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,overlapped,7200,0.491666666666667,0.923076923076923,3,5,0.6,2,94,65,NA,0,NA,mandarin-110-185-495690,2,86810,88730,dyadic
534680,535250,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,570,mandarin-110-207-534680,talk,2,6,2,54,6332095,3.158512309117283e-7,NA,NA,full,other,-1170,NA,7770,0.544401544401544,0.996153846153846,4,6,0.5,2,30,73,NA,0,NA,mandarin-110-185-495690,1,87560,88130,dyadic
536730,537670,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,940,mandarin-110-208-536730,talk,1,6,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self_during_other,880,overlapped,8710,0.593570608495982,0.905405405405405,4,7,0.571428571428571,2,94,65,NA,0,NA,mandarin-110-185-495690,1,89610,90550,dyadic
536980,540670,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,3690,mandarin-110-209-536980,talk,NA,NA,NA,NA,NA,NA,NA,NA,partial,other,-690,overlapped,12400,0.583064516129032,0.98256735340729,5,8,0.5,2,NA,NA,NA,0,NA,mandarin-110-185-495690,2,89860,93550,dyadic
539280,541740,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2460,mandarin-110-210-539280,talk,6,34,1,55,6332095,1.5792561545586417e-7,NA,NA,partial,other,-1390,NA,10880,0.364889705882353,1.15376458112407,3,6,0.5,2,94,65,NA,0,NA,mandarin-110-185-495690,1,92160,94620,dyadic
541970,544760,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2790,mandarin-110-211-541970,talk,8,48,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,230,NA,13670,0.709583028529627,1.09799196787149,4,7,0.571428571428571,2,94,65,NA,0,NA,mandarin-110-185-495690,2,94850,97640,dyadic
